Log File Title: Timaeus Log
Date and Time: 12-16-24 10:24:52 pm
----------------------------------------
[12-16-24 10:24:53 pm] Player position: XYZ { x: 32, y: 22, z: 10 }, Player angle_h: 0
[12-16-24 10:24:53 pm] Player position: XYZ { x: 32, y: 12, z: 10 }, Player angle_h: 0
[12-16-24 10:24:54 pm] Player position: XYZ { x: 32, y: 2, z: 10 }, Player angle_h: 0
[12-16-24 10:24:54 pm] Player position: XYZ { x: 32, y: -8, z: 10 }, Player angle_h: 0
[12-16-24 10:24:54 pm] Player position: XYZ { x: 32, y: -18, z: 10 }, Player angle_h: 0
[12-16-24 10:24:54 pm] Player position: XYZ { x: 32, y: -28, z: 10 }, Player angle_h: 0
[12-16-24 10:24:54 pm] Player position: XYZ { x: 32, y: -38, z: 10 }, Player angle_h: 0
[12-16-24 10:24:54 pm] Player position: XYZ { x: 32, y: -48, z: 10 }, Player angle_h: 0
[12-16-24 10:24:54 pm] Player position: XYZ { x: 32, y: -58, z: 10 }, Player angle_h: 0
[12-16-24 10:24:55 pm] Player position: XYZ { x: 32, y: -58, z: 10 }, Player angle_h: 35
[12-16-24 10:24:55 pm] Player position: XYZ { x: 33, y: -67, z: 10 }, Player angle_h: 35
[12-16-24 10:24:55 pm] Player position: XYZ { x: 33, y: -67, z: 11 }, Player angle_h: 35
[12-16-24 10:24:56 pm] Player position: XYZ { x: 33, y: -67, z: 12 }, Player angle_h: 35
[12-16-24 10:24:56 pm] Player position: XYZ { x: 33, y: -67, z: 13 }, Player angle_h: 35
[12-16-24 10:24:56 pm] Player position: XYZ { x: 33, y: -67, z: 14 }, Player angle_h: 35
[12-16-24 10:24:56 pm] Player position: XYZ { x: 33, y: -67, z: 15 }, Player angle_h: 35
[12-16-24 10:24:56 pm] Player position: XYZ { x: 33, y: -67, z: 16 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 17 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 18 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 19 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 20 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 21 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 22 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 23 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 24 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 25 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 26 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 27 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 28 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 29 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 30 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 31 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 32 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 33 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 34 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 35 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 36 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 37 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 38 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 39 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 40 }, Player angle_h: 35
[12-16-24 10:24:57 pm] Player position: XYZ { x: 33, y: -67, z: 41 }, Player angle_h: 35
[12-16-24 10:24:58 pm] Player position: XYZ { x: 33, y: -67, z: 42 }, Player angle_h: 35
[12-16-24 10:24:58 pm] Player position: XYZ { x: 33, y: -67, z: 43 }, Player angle_h: 35
[12-16-24 10:24:58 pm] Player position: XYZ { x: 33, y: -67, z: 44 }, Player angle_h: 35
[12-16-24 10:24:58 pm] Player position: XYZ { x: 33, y: -67, z: 45 }, Player angle_h: 35
[12-16-24 10:24:58 pm] Player position: XYZ { x: 33, y: -67, z: 46 }, Player angle_h: 35
[12-16-24 10:24:58 pm] Player position: XYZ { x: 33, y: -67, z: 47 }, Player angle_h: 35
[12-16-24 10:24:58 pm] Player position: XYZ { x: 33, y: -67, z: 48 }, Player angle_h: 35
[12-16-24 10:24:58 pm] Player position: XYZ { x: 33, y: -67, z: 49 }, Player angle_h: 35
[12-16-24 10:24:58 pm] Player position: XYZ { x: 33, y: -67, z: 50 }, Player angle_h: 35
[12-16-24 10:24:58 pm] Player position: XYZ { x: 33, y: -67, z: 51 }, Player angle_h: 35
[12-16-24 10:24:58 pm] Player position: XYZ { x: 33, y: -67, z: 52 }, Player angle_h: 35
[12-16-24 10:24:58 pm] Player position: XYZ { x: 33, y: -67, z: 53 }, Player angle_h: 35
[12-16-24 10:24:58 pm] Player position: XYZ { x: 33, y: -67, z: 54 }, Player angle_h: 35
[12-16-24 10:24:58 pm] Player position: XYZ { x: 33, y: -67, z: 55 }, Player angle_h: 35
[12-16-24 10:24:58 pm] Player position: XYZ { x: 33, y: -67, z: 56 }, Player angle_h: 35
[12-16-24 10:24:58 pm] Player position: XYZ { x: 33, y: -67, z: 56 }, Player angle_h: 0
[12-16-24 10:24:59 pm] Player position: XYZ { x: 33, y: -57, z: 56 }, Player angle_h: 0
[12-16-24 10:25:00 pm] Player position: XYZ { x: 33, y: -47, z: 56 }, Player angle_h: 0
[12-16-24 10:25:00 pm] Player position: XYZ { x: 33, y: -37, z: 56 }, Player angle_h: 0
[12-16-24 10:25:00 pm] Player position: XYZ { x: 33, y: -27, z: 56 }, Player angle_h: 0
[12-16-24 10:25:00 pm] Player position: XYZ { x: 33, y: -17, z: 56 }, Player angle_h: 0
[12-16-24 10:25:00 pm] Player position: XYZ { x: 33, y: -7, z: 56 }, Player angle_h: 0
[12-16-24 10:25:01 pm] Player position: XYZ { x: 33, y: -17, z: 56 }, Player angle_h: 0
[12-16-24 10:25:01 pm] Player position: XYZ { x: 33, y: -27, z: 56 }, Player angle_h: 0
